Orthogroup	Acinetobacter_baumannii	Mycobacterium_tuberculosis
OG0000023		g1000.t1, g1174.t1, g1334.t1, g1512.t1, g1519.t1, g1905.t1, g2880.t1, g2891.t1, g2899.t1, g34.t1, g399.t1
OG0000024		g1658.t1, g1710.t1, g2009.t1, g2327.t1, g2603.t1, g2605.t1, g323.t1, g572.t1, g726.t1, g80.t1, g817.t1
OG0000025	g307.t1, g95.t1	g1520.t1, g163.t1, g1842.t1, g1876.t1, g2232.t1, g2995.t1, g3036.t1, g749.t1
OG0000026	g116.t1, g194.t1	g117.t1, g1800.t1, g2952.t1, g3419.t1, g3457.t1, g550.t1, g842.t1
OG0000027		g1490.t1, g1498.t1, g1514.t1, g1581.t1, g2586.t1, g2901.t1, g294.t1, g517.t1, g985.t1
OG0000028		g3347.t1, g442.t1, g464.t1, g465.t1, g499.t1, g636.t1, g637.t1, g638.t1, g639.t1
OG0000029		g1015.t1, g1020.t1, g3205.t1, g485.t1, g594.t1, g595.t1, g746.t1, g890.t1, g969.t1
OG0000030		g1234.t1, g1845.t1, g1908.t1, g2099.t1, g2187.t1, g3007.t1, g3035.t1, g3126.t1, g757.t1
OG0000031	g492.t1	g1916.t1, g2727.t1, g3190.t1, g3213.t1, g3504.t1, g3521.t1, g381.t1
OG0000032		g1113.t1, g1134.t1, g1573.t1, g1685.t1, g1922.t1, g3416.t1, g93.t1, g94.t1
OG0000033		g168.t1, g169.t1, g1939.t1, g1940.t1, g3448.t1, g3449.t1, g582.t1, g583.t1
OG0000034		g1393.t1, g1395.t1, g1953.t1, g225.t1, g2988.t1, g3300.t1, g553.t1, g830.t1
OG0000035		g1687.t1, g1954.t1, g1974.t1, g2098.t1, g2290.t1, g3212.t1, g343.t1, g518.t1
OG0000036		g2105.t1, g2202.t1, g2388.t1, g2934.t1, g3173.t1, g3345.t1, g484.t1, g521.t1
OG0000037		g1926.t1, g1927.t1, g2047.t1, g2050.t1, g2506.t1, g2748.t1, g609.t1, g951.t1
OG0000038		g1035.t1, g1188.t1, g2477.t1, g2624.t1, g2972.t1, g3067.t1, g3384.t1, g909.t1
OG0000039		g1225.t1, g1226.t1, g2014.t1, g2015.t1, g2286.t1, g2287.t1, g2783.t1, g2784.t1
OG0000040		g1252.t1, g1306.t1, g1307.t1, g1308.t1, g1609.t1, g1632.t1, g2185.t1, g2403.t1
OG0000041		g1620.t1, g1971.t1, g1980.t1, g2001.t1, g2003.t1, g2587.t1, g2588.t1, g3085.t1
OG0000042	g56.t1	g101.t1, g1459.t1, g1968.t1, g3229.t1, g91.t1, g956.t1
OG0000043	g123.t1, g129.t1	g1260.t1, g1261.t1, g1337.t1, g195.t1, g2844.t1
OG0000044	g136.t1, g234.t1, g322.t1, g383.t1, g435.t1	g1164.t1, g3315.t1
OG0000045		g102.t1, g1659.t1, g2527.t1, g3054.t1, g71.t1, g973.t1, g986.t1
OG0000046		g125.t1, g1316.t1, g1317.t1, g1552.t1, g1553.t1, g1554.t1, g2438.t1
OG0000047		g1178.t1, g1210.t1, g183.t1, g2040.t1, g3183.t1, g440.t1, g723.t1
OG0000048		g1201.t1, g2159.t1, g226.t1, g2574.t1, g2981.t1, g481.t1, g552.t1
OG0000049		g1099.t1, g1551.t1, g1985.t1, g230.t1, g2510.t1, g2710.t1, g300.t1
OG0000050		g1368.t1, g2070.t1, g3024.t1, g333.t1, g389.t1, g392.t1, g511.t1
OG0000051		g1357.t1, g1706.t1, g1713.t1, g1902.t1, g2230.t1, g394.t1, g895.t1
OG0000052		g1259.t1, g1279.t1, g1673.t1, g1789.t1, g3017.t1, g3311.t1, g554.t1
OG0000053		g1838.t1, g2368.t1, g2369.t1, g918.t1, g919.t1, g924.t1, g925.t1
OG0000054	g71.t1	g2145.t1, g3338.t1, g3354.t1, g557.t1, g976.t1
OG0000055	g209.t1	g13.t1, g1373.t1, g1613.t1, g2060.t1, g2809.t1
OG0000056		g1038.t1, g1394.t1, g2837.t1, g41.t1, g725.t1, g868.t1
OG0000057		g1709.t1, g1752.t1, g1754.t1, g3309.t1, g3310.t1, g60.t1
OG0000058		g1091.t1, g1416.t1, g2020.t1, g221.t1, g2254.t1, g2450.t1
OG0000059		g1005.t1, g1202.t1, g3223.t1, g332.t1, g3475.t1, g980.t1
OG0000060		g1383.t1, g2999.t1, g3033.t1, g560.t1, g880.t1, g931.t1
OG0000061		g2742.t1, g2835.t1, g2927.t1, g600.t1, g818.t1, g911.t1
OG0000062		g2089.t1, g3152.t1, g3156.t1, g3157.t1, g624.t1, g936.t1
OG0000063		g1611.t1, g2741.t1, g3472.t1, g3473.t1, g3490.t1, g903.t1
OG0000064		g1592.t1, g1715.t1, g1911.t1, g2211.t1, g2397.t1, g2486.t1
OG0000065	g266.t1, g364.t1, g39.t1	g1085.t1, g765.t1
OG0000066	g49.t1	g2623.t1, g2625.t1, g3546.t1, g380.t1
OG0000067	g66.t1	g1542.t1, g1579.t1, g251.t1, g3278.t1
OG0000068	g107.t1, g283.t1	g1698.t1, g463.t1, g849.t1
OG0000069	g118.t1	g1267.t1, g3365.t1, g487.t1, g687.t1
OG0000070	g233.t1	g1389.t1, g1390.t1, g218.t1, g2919.t1
OG0000071	g260.t1	g1021.t1, g745.t1, g891.t1, g968.t1
OG0000072	g358.t1, g436.t1	g2085.t1, g3559.t1, g430.t1
OG0000073	g361.t1	g2466.t1, g2916.t1, g3243.t1, g960.t1
OG0000074	g472.t1	g2220.t1, g2467.t1, g3239.t1, g961.t1
OG0000075	g501.t1	g1032.t1, g1212.t1, g124.t1, g970.t1
OG0000076	g504.t1	g1858.t1, g2194.t1, g2196.t1, g2810.t1
OG0000077		g1523.t1, g1874.t1, g21.t1, g2732.t1, g3503.t1
OG0000078		g1468.t1, g1469.t1, g1556.t1, g2161.t1, g24.t1
OG0000079		g3109.t1, g3110.t1, g3111.t1, g82.t1, g85.t1
OG0000080		g115.t1, g1423.t1, g193.t1, g2483.t1, g478.t1
OG0000081		g165.t1, g2157.t1, g843.t1, g845.t1, g846.t1
OG0000082		g1352.t1, g176.t1, g178.t1, g1947.t1, g200.t1
OG0000083		g1351.t1, g179.t1, g1948.t1, g2359.t1, g3440.t1
OG0000084		g244.t1, g2489.t1, g3344.t1, g3488.t1, g630.t1
OG0000085		g1629.t1, g3321.t1, g3529.t1, g376.t1, g869.t1
OG0000086		g1893.t1, g2269.t1, g2942.t1, g401.t1, g928.t1
OG0000087		g1039.t1, g1533.t1, g3346.t1, g542.t1, g840.t1
OG0000088		g2743.t1, g2836.t1, g2928.t1, g599.t1, g910.t1
OG0000089		g2459.t1, g2494.t1, g2566.t1, g3280.t1, g611.t1
OG0000090		g1230.t1, g2458.t1, g2565.t1, g2820.t1, g654.t1
OG0000091		g1107.t1, g1824.t1, g732.t1, g738.t1, g758.t1
OG0000092		g2757.t1, g2759.t1, g3078.t1, g3079.t1, g736.t1
OG0000093		g1864.t1, g2358.t1, g2419.t1, g856.t1, g997.t1
