Orthogroup	Mycobacterium_tuberculosis	Neisseria_gonorrhoeae	Total
OG0000263	2	0	2
OG0000264	2	0	2
OG0000265	2	0	2
OG0000266	2	0	2
OG0000267	2	0	2
OG0000268	2	0	2
OG0000269	2	0	2
OG0000270	2	0	2
OG0000271	2	0	2
OG0000272	2	0	2
OG0000273	2	0	2
OG0000274	2	0	2
OG0000275	2	0	2
OG0000276	2	0	2
OG0000277	2	0	2
OG0000278	2	0	2
OG0000279	2	0	2
OG0000280	2	0	2
OG0000281	2	0	2
OG0000282	2	0	2
OG0000283	2	0	2
OG0000284	2	0	2
OG0000285	2	0	2
OG0000286	2	0	2
OG0000287	2	0	2
OG0000288	2	0	2
OG0000289	2	0	2
OG0000290	2	0	2
OG0000291	2	0	2
OG0000292	2	0	2
OG0000293	2	0	2
OG0000294	2	0	2
OG0000295	2	0	2
OG0000296	2	0	2
OG0000297	2	0	2
OG0000298	2	0	2
OG0000299	2	0	2
OG0000300	2	0	2
OG0000301	2	0	2
OG0000302	2	0	2
OG0000303	2	0	2
OG0000304	2	0	2
OG0000305	2	0	2
OG0000306	1	1	2
OG0000307	2	0	2
OG0000308	1	1	2
OG0000309	2	0	2
OG0000310	2	0	2
OG0000311	1	1	2
OG0000312	2	0	2
OG0000313	1	1	2
OG0000314	2	0	2
OG0000315	1	1	2
OG0000316	1	1	2
OG0000317	2	0	2
OG0000318	2	0	2
OG0000319	2	0	2
OG0000320	2	0	2
OG0000321	2	0	2
OG0000322	2	0	2
OG0000323	2	0	2
OG0000324	2	0	2
OG0000325	2	0	2
OG0000326	2	0	2
OG0000327	2	0	2
OG0000328	2	0	2
OG0000329	2	0	2
OG0000330	2	0	2
OG0000331	2	0	2
OG0000332	2	0	2
OG0000333	2	0	2
OG0000334	2	0	2
OG0000335	2	0	2
OG0000336	2	0	2
OG0000337	2	0	2
OG0000338	2	0	2
OG0000339	2	0	2
OG0000340	2	0	2
OG0000341	2	0	2
OG0000342	2	0	2
OG0000343	2	0	2
OG0000344	2	0	2
OG0000345	2	0	2
OG0000346	2	0	2
OG0000347	2	0	2
OG0000348	2	0	2
OG0000349	2	0	2
OG0000350	2	0	2
OG0000351	2	0	2
OG0000352	2	0	2
OG0000353	2	0	2
OG0000354	2	0	2
OG0000355	2	0	2
OG0000356	2	0	2
OG0000357	2	0	2
OG0000358	2	0	2
OG0000359	2	0	2
OG0000360	2	0	2
OG0000361	2	0	2
OG0000362	2	0	2
OG0000363	2	0	2
OG0000364	2	0	2
OG0000365	2	0	2
OG0000366	2	0	2
OG0000367	2	0	2
OG0000368	2	0	2
OG0000369	2	0	2
OG0000370	2	0	2
OG0000371	2	0	2
OG0000372	2	0	2
OG0000373	2	0	2
OG0000374	2	0	2
OG0000375	2	0	2
OG0000376	2	0	2
OG0000377	2	0	2
OG0000378	2	0	2
OG0000379	2	0	2
OG0000380	2	0	2
OG0000381	2	0	2
OG0000382	2	0	2
OG0000383	2	0	2
OG0000384	2	0	2
OG0000385	2	0	2
OG0000386	2	0	2
OG0000387	2	0	2
OG0000388	2	0	2
OG0000389	2	0	2
OG0000390	2	0	2
OG0000391	2	0	2
OG0000392	2	0	2
OG0000393	2	0	2
OG0000394	2	0	2
OG0000395	2	0	2
OG0000396	2	0	2
OG0000397	2	0	2
OG0000398	2	0	2
OG0000399	2	0	2
OG0000400	2	0	2
OG0000401	2	0	2
OG0000402	2	0	2
OG0000403	2	0	2
OG0000404	2	0	2
OG0000405	2	0	2
OG0000406	2	0	2
OG0000407	2	0	2
OG0000408	2	0	2
OG0000409	2	0	2
OG0000410	2	0	2
OG0000411	2	0	2
OG0000412	2	0	2
OG0000413	2	0	2
OG0000414	2	0	2
OG0000415	2	0	2
OG0000416	2	0	2
OG0000417	2	0	2
OG0000418	2	0	2
OG0000419	2	0	2
OG0000420	2	0	2
OG0000421	2	0	2
OG0000422	2	0	2
OG0000423	2	0	2
OG0000424	2	0	2
OG0000425	2	0	2
OG0000426	2	0	2
OG0000427	2	0	2
OG0000428	2	0	2
OG0000429	2	0	2
OG0000430	2	0	2
OG0000431	2	0	2
OG0000432	2	0	2
OG0000433	2	0	2
OG0000434	2	0	2
OG0000435	2	0	2
OG0000436	2	0	2
OG0000437	2	0	2
OG0000438	2	0	2
OG0000439	2	0	2
OG0000440	2	0	2
OG0000441	2	0	2
OG0000442	2	0	2
OG0000443	2	0	2
OG0000444	2	0	2
OG0000445	2	0	2
OG0000446	2	0	2
OG0000447	2	0	2
OG0000448	2	0	2
OG0000449	2	0	2
